nct_id,Type,Value,Action
NCT03690869,Tag,DIPG Workflow,Add
NCT03243461,Tag,DIPG Workflow,Add
NCT03632317,Tag,DIPG Workflow,Add
NCT03696355,Tag,DIPG Workflow,Add
NCT03620032,Tag,DIPG Workflow,Add
NCT03605550,Tag,DIPG Workflow,Add
NCT03538587,Tag,DIPG Workflow,Add
NCT03396575,Tag,DIPG Workflow,Add
NCT03566199,Tag,DIPG Workflow,Add
NCT03387020,Tag,DIPG Workflow,Add
NCT03389802,Tag,DIPG Workflow,Add
NCT02343406,Tag,DIPG Workflow,Add
NCT03257631,Tag,DIPG Workflow,Add
NCT02502708,Tag,DIPG Workflow,Add
NCT01445288,Tag,DIPG Workflow,Add
NCT03416530,Tag,DIPG Workflow,Add
NCT03330197,Tag,DIPG Workflow,Add
NCT03352427,Tag,DIPG Workflow,Add
NCT03355794,Tag,DIPG Workflow,Add
NCT03086616,Tag,DIPG Workflow,Add
NCT02274987,Tag,DIPG Workflow,Add
NCT03101813,Tag,DIPG Workflow,Add
NCT01502917,Tag,DIPG Workflow,Add
NCT03130959,Tag,DIPG Workflow,Add
NCT02960230,Tag,DIPG Workflow,Add
NCT02992015,Tag,DIPG Workflow,Add
NCT03178032,Tag,DIPG Workflow,Add
NCT01922076,Tag,DIPG Workflow,Add
NCT02233049,Tag,DIPG Workflow,Add
NCT02607124,Tag,DIPG Workflow,Add
NCT03086616,Tag,DIPG Workflow,Add
NCT02717455,Tag,DIPG Workflow,Add
NCT03155620,Tag,DIPG Workflow,Add
NCT01884740,Tag,DIPG Workflow,Add
NCT02359565,Tag,DIPG Workflow,Add
NCT03126266,Tag,DIPG Workflow,Add
NCT02124772,Tag,DIPG Workflow,Add
NCT01644773,Tag,DIPG Workflow,Add
NCT02420613,Tag,DIPG Workflow,Add
NCT02758366,Tag,DIPG Workflow,Add
NCT02840123,Tag,DIPG Workflow,Add
NCT01837862,Tag,DIPG Workflow,Add
NCT02644460,Tag,DIPG Workflow,Add
NCT02444546,Tag,DIPG Workflow,Add
NCT01106794,Tag,DIPG Workflow,Add
NCT03690869,wf_DIPG Workflow Status,Needs Review,Add
NCT03243461,wf_DIPG Workflow Status,Needs Review,Add
NCT03632317,wf_DIPG Workflow Status,Needs Review,Add
NCT03696355,wf_DIPG Workflow Status,Needs Review,Add
NCT03620032,wf_DIPG Workflow Status,Needs Review,Add
NCT03605550,wf_DIPG Workflow Status,Needs Review,Add
NCT03538587,wf_DIPG Workflow Status,Needs Review,Add
NCT03396575,wf_DIPG Workflow Status,Needs Review,Add
NCT03566199,wf_DIPG Workflow Status,Needs Review,Add
NCT03387020,wf_DIPG Workflow Status,Needs Review,Add
NCT03389802,wf_DIPG Workflow Status,Needs Review,Add
NCT02343406,wf_DIPG Workflow Status,Needs Review,Add
NCT03257631,wf_DIPG Workflow Status,Needs Review,Add
NCT02502708,wf_DIPG Workflow Status,Needs Review,Add
NCT01445288,wf_DIPG Workflow Status,Needs Review,Add
NCT03416530,wf_DIPG Workflow Status,Needs Review,Add
NCT03330197,wf_DIPG Workflow Status,Needs Review,Add
NCT03352427,wf_DIPG Workflow Status,Needs Review,Add
NCT03355794,wf_DIPG Workflow Status,Needs Review,Add
NCT03086616,wf_DIPG Workflow Status,Needs Review,Add
NCT02274987,wf_DIPG Workflow Status,Needs Review,Add
